_date,total_views,unique_views
2023-06-19,6,2
2023-06-20,1,1
2023-06-21,2,2
2023-06-22,1,1
2023-06-26,6,1
2023-06-30,12,1
2023-07-21,4,1
2023-08-03,6,1
2023-08-04,22,1
2023-08-23,14,2
2023-08-25,3,1
2023-08-30,2,1
2023-09-08,2,1
2023-09-15,1,1
2023-09-27,2,1
2023-09-28,5,1
2023-10-11,1,1
2023-10-13,4,3
2023-10-20,3,1
2023-10-23,1,1
2023-10-31,3,1
2023-11-02,10,1
2023-11-07,8,2
2023-11-08,1,1
2023-11-09,2,1
2023-11-14,2,1
2023-11-15,1,1
2023-11-17,9,1
2023-11-18,1,1
2023-11-20,1,1
2023-11-21,3,2
2023-11-22,7,1
2023-11-25,1,1
2023-11-29,6,1
2023-11-30,1,1
2023-12-04,5,1
2023-12-06,4,1
2023-12-07,3,1
2024-01-03,3,1
2024-01-10,3,1
2024-01-12,3,1
2024-01-18,15,1
2024-01-25,1,1
2024-01-26,1,1
2024-01-27,90,2
2024-01-28,4,2
2024-01-29,9,2
2024-02-01,12,5
2024-02-02,13,1
2024-02-03,2,1
2024-02-04,4,1
2024-02-05,3,2
2024-02-06,21,3
2024-02-07,33,4
2024-02-08,4,1
2024-02-09,7,2
2024-02-10,2,1
2024-02-12,49,2
2024-02-13,5,2
2024-02-14,14,2
